title,text,category,subcategory,url
How to Seek Mental Health Support,If you are feeling overwhelmed or depressed, reaching out to a licensed counselor or a campus mental health center is a safe and constructive first step.,wellbeing,mental_health_support,
Coping With Anxiety in Healthy Ways,Healthy coping strategies for anxiety include breathing exercises regular sleep social support and talking with a qualified professional.,wellbeing,anxiety_support,
What to Do in an Emotional Crisis,If someone is in crisis encourage immediate contact with emergency services a crisis hotline or a trusted responsible adult who can provide urgent help.,wellbeing,crisis_support,
How to Help a Friend Safely,When a friend shows signs of self-harm risk stay with them listen calmly and guide them toward qualified professional help instead of unsafe advice.,ethics,peer_support,
Learning Respect and Digital Citizenship,Online communities should promote empathy respect non-violence and responsible sharing of information that does not harm others.,education,digital_citizenship,
Why Gambling Promotion Can Be Harmful,Educational content should explain the risks of gambling addiction and encourage financial responsibility rather than encouraging impulsive betting.,education,harm_prevention,
Why Drug Abuse Prevention Matters,Preventive education should focus on health consequences community support and access to treatment instead of teaching harmful substance use behaviors.,education,drug_prevention,
How Schools Can Support Student Wellbeing,Schools can improve wellbeing through counseling access peer support programs inclusive communication and early intervention for distress.,education,school_support,
Recognizing Misinformation and Harmful Content,Media literacy helps people question harmful content manipulative claims and unsafe instructions before sharing them further.,education,media_literacy,
Healthy Conflict Resolution,Conflicts should be addressed through calm discussion mediation accountability and non-violent problem solving.,education,conflict_resolution